#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Iudex Gundyr","Tsukasa Saitoh",42,154,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:44,12,48,43,91,9,0,30,-9,G minor,3,2025-12-09,7JEfUR0zWt3pdbijmrsx0Q,"Bandai Namco Game Music",6A,JPX832004515
2,"Vordt of the Boreal Valley","Motoi Sakuraba",48,84,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:05,8,70,10,96,18,0,10,-9,F minor,4,2025-12-09,2FIqKAoDefoCMnQBvk9jBK,"Bandai Namco Game Music",4A,JPX832004516
3,"Curse-rotted Greatwood","Motoi Sakuraba",32,100,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:11,13,58,2,94,6,0,10,-9,F,4,2025-12-09,7y484NrckY2kIHjfYkDFxb,"Bandai Namco Game Music",7B,JPX832004517
4,"Crystal Sages","Motoi Sakuraba",31,78,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:17,7,38,15,91,7,0,10,-13,A,3,2025-12-09,25bVoTOlaW0q1PeOD0AYiL,"Bandai Namco Game Music",11B,JPX832004518
5,"Deacons of the Deep","Nobuyoshi Suzuki",37,88,"","","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:30,9,27,19,92,4,0,0,-11,C♯/D♭ minor,3,2025-12-09,3mgqk2Hh1SaBANs0bYDxra,"Bandai Namco Game Music",12A,JPX832004519
6,"High Lord Wolnir","Motoi Sakuraba",32,140,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:41,14,59,12,90,5,0,0,-11,C minor,4,2025-12-09,1340EA7DJOKpcOXYCeMF4X,"Bandai Namco Game Music",5A,JPX832004520
7,"Pontiff Sulyvahn","Yuka Kitamura",42,88,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:56,9,43,45,95,6,0,0,-11,D#/E♭,3,2025-12-09,17Hou4GP2uxe48iYX7RaWR,"Bandai Namco Game Music",5B,JPX832004521
8,"Dancer of the Boreal Valley","Yuka Kitamura",39,169,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:25,10,40,80,78,4,0,0,-12,C♯/D♭,5,2025-12-09,0vh67Dc10xtNHMggf0q24s,"Bandai Namco Game Music",3B,JPX832004522
9,"Dragonslayer Armour","Yuka Kitamura",39,181,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:20,8,52,35,16,23,0,0,-10,C minor,3,2025-12-09,7qHHmacQY3BnNm5ZYhTTJF,"Bandai Namco Game Music",5A,JPX832004523
10,"Old Demon King","Motoi Sakuraba",31,110,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:48,19,56,78,99,9,0,10,-12,D minor,3,2025-12-09,3z3i0ivCCAqzWLQT1pZyrN,"Bandai Namco Game Music",7A,JPX832004524
11,"Oceiros, the Consumed King","Yuka Kitamura",35,92,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:52,11,42,88,5,4,0,10,-10,G minor,4,2025-12-09,0eNR5kpvZntGZxEqDG5nN1,"Bandai Namco Game Music",6A,JPX832004525
12,"Ancient Wyvern","Yuka Kitamura",31,80,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,02:55,12,24,59,98,8,0,20,-11,G minor,4,2025-12-09,5HuKUjUuykwwkwZnlrWTXz,"Bandai Namco Game Music",6A,JPX832004526
13,"Nameless King","Motoi Sakuraba",41,118,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:12,31,78,8,50,23,0,10,-9,D minor,3,2025-12-09,5gN5BP5P8veXLFbZ7kDWDJ,"Bandai Namco Game Music",7A,JPX832004527
14,"Abyss Watchers","Yuka Kitamura",46,75,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:51,11,38,89,97,12,0,10,-12,F minor,4,2025-12-09,6Ti3J1L3b3PHkMirNq0dC9,"Bandai Namco Game Music",4A,JPX832004528
15,"Yhorm the Giant","Yuka Kitamura",39,77,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:06,10,46,50,96,25,0,0,-8,C♯/D♭,3,2025-12-09,7niy7FDnc0CsgAMqDUVgv7,"Bandai Namco Game Music",3B,JPX832004529
16,"Aldritch, Devourer of Gods","Motoi Sakuraba",35,81,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:45,8,45,5,99,12,0,0,-9,G,4,2025-12-09,5w7mT3Aqq7f0w3YdbbF675,"Bandai Namco Game Music",9B,JPX832004530
17,"Twin Princes","Yuka Kitamura",44,78,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:14,21,42,6,75,25,0,10,-10,C minor,4,2025-12-09,2KtaQQGIVWr8AkC7XL6Xyy,"Bandai Namco Game Music",5A,JPX832004531
18,"Soul of Cinder","Yuka Kitamura",42,105,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,05:51,17,38,81,86,18,0,0,-13,D minor,3,2025-12-09,2tXJ6M02LTmqbHZ7dYU0Yp,"Bandai Namco Game Music",7A,JPX832004532
19,"Secret Betrayal","Yuka Kitamura",42,68,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,02:48,24,1,99,85,4,0,0,-29,G,4,2025-12-09,1MXLT7lpCQxlJkxAdifUY0,"Bandai Namco Game Music",9B,JPX832004533
20,"Sister Friede","Yuka Kitamura",42,103,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:29,18,30,91,98,9,0,10,-13,D#/E♭,4,2025-12-09,7sh3E3KPEJ2CvLRR8CcxQD,"Bandai Namco Game Music",5B,JPX832004534
21,"Champion's Gravertender","Yuka Kitamura",35,113,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:41,21,50,69,71,31,0,10,-10,D#/E♭,3,2025-12-09,00NhlYNYYVt7CTyqlFtSdH,"Bandai Namco Game Music",5B,JPX832004535
22,"The Demon Prince","Yuka Kitamura",34,80,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,03:27,21,46,32,19,18,0,0,-10,D,4,2025-12-09,6o5Xhk2P5XYuhcLbZyfChU,"Bandai Namco Game Music",10B,JPX832004536
23,"Halflight, Spear of the Church","Yuka Kitamura",33,116,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:04,17,30,55,86,7,0,20,-12,B minor,5,2025-12-09,7ckYPNiXhpcl3d2fDA7wuX,"Bandai Namco Game Music",10A,JPX832004537
24,"Darkeater Midir","Yuka Kitamura",43,114,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,04:16,18,54,28,96,18,0,0,-9,C♯/D♭,3,2025-12-09,0U3ZDc0uLbchrIIVOsPnpY,"Bandai Namco Game Music",3B,JPX832004538
25,"Slave Knight Gael","Yuka Kitamura",48,111,"soundtrack","Classical, Easy Listening","Dark Souls 3 (Original Game Soundtrack)",2024-11-07,05:38,19,69,55,96,32,0,20,-9,F#/G♭,3,2025-12-09,74m8PoL6GZulfVzeYS6W0C,"Bandai Namco Game Music",2B,JPX832004539
26,"Taurus Demon","Motoi Sakuraba",34,160,"soundtrack","Classical, Easy Listening","Dark Souls (Original Game Soundtrack)",2024-11-07,02:40,42,72,3,95,29,0,20,-8,B minor,4,2025-12-09,2aP2irVHMvClbgvylbdLkU,"Bandai Namco Game Music",10A,JPX832004435
